Грандиозный концерт звезды Болливуда в Бишкеке. А также выступление Викрама Рузахунова,https://data.kaktus.media/image/small/2022-09-28_17-30-03_189867.jpg
В Душанбе завершена встреча топографических групп Кыргызстана и Таджикистана,https://data.kaktus.media/image/small/2022-10-15_18-06-56_110981.jpg
Погода в Бишкеке 16-22 октября,https://data.kaktus.media/image/small/2022-10-15_17-28-09_318786.jpg
Что произошло в Украине за последние сутки 15 октября,https://data.kaktus.media/image/small/2022-10-15_17-04-40_907957.jpg
"Банк ""Компаньон"" приостановил обслуживание российских карт ""Мир""",https://data.kaktus.media/image/small/2022-10-15_16-48-13_483362.jpg
Как сейчас выглядит Кемпир-Абадское водохранилище. Фото и видео,https://data.kaktus.media/image/small/2022-10-15_16-32-59_127306.jpg
Курултай по сохранению Кемпир-Абадского водохранилища. Принята совместная резолюция,https://data.kaktus.media/image/small/2022-10-15_16-07-00_645886.jpg
Бывший замминистра ЧС: Никаких спорных вопросов с Узбекистаном по Кемпир-Абаду не было,https://data.kaktus.media/image/small/2022-10-15_15-11-16_453557.jpg
Демарш Рахмона перед Путиным? Полный текст выступления президента Таджикистана,https://data.kaktus.media/image/small/2022-10-15_14-56-39_617104.jpg
Бекешев: Независимые СМИ хотят закрыть за освещение вопроса о передаче Кемпир-Абада,https://data.kaktus.media/image/small/2022-10-15_14-33-55_274713.jpg
Акын Болот Назаров выступил на курултае по Кемпир-Абадскому водохранилищу,https://data.kaktus.media/image/small/2022-10-15_13-51-50_859142.jpg
"Рейтинги Жапарова и Мадумарова выросли, а Ташиева остаются на месте. Результаты опроса",https://data.kaktus.media/image/small/2022-10-15_13-34-07_233205.jpg
"Бекназаров: В Чуйской области пройдет альтернативный курултай, надо к нему присоединиться",https://data.kaktus.media/image/small/2022-10-15_13-10-25_792604.jpg
